ra,endereço,lat,lon
SIA,"DF 095 (EPCL) - SIA, KM 0,4, SENT. TAGUATINGA",-15.786823,-47.945341
Ceilândia,"DF 180 - CEI, KM 4,6, CH 15, GLEBA 403B/404F, INCRA 9, EM FRENTE AO SIMPSONS BURGER",-15.778767,-48.171451
Taguatinga,"DF 001 (PISTÃO NORTE) - TAG, KM 72,4, EM FRENTE A UNIVERSIDADE CATÓLICA",-15.869303,-48.030964
Recanto das Emas,"DF 180 - RE, KM 35,1, EM FRENTE AO R E J POINT ALTA BAR",-15.962217,-48.130533
Ceilândia,"DF 473 - SS, KM 00, PRÓX. AO CAMPUS DA UNB DA CEILANDIA, SENT. SAMAMBAIA",-15.844891,-48.103612
Gama,"DF 480, KM 1,3, ROTATÓRIA, TERMINAL RODOVIÁRIO, PRÓX. AO BRT DO GAMA",-15.990952,-48.048441
Paranoá,"DF 250 - PAR, KM 08, QUEBRA MOLA, PRÓX. AO BRASÍLIA KART, SENT. RAJADINHA",-15.750889,-47.714629
Recanto das Emas,"DF 001 (EPCT) - RE, KM 62,4, DE FRENTE AO FORT ATACADISTA",-15.929971,-48.04519
São Sebastião,"DF 285 - SS, KM 19,6, PRÓX. DO ACESSO AO NÚCLEO RURAL JARDIM 2, SENT. PALMITAL DE MINAS",-16.026611,-47.376002
Taguatinga,"DF 001 (PISTÃO SUL) - TAG, KM 74,2, DE FRENTE AO GIRAFFAS, PRÓX. À QS 5",-15.855503,-48.038857
Lago Norte,"DF 002 (PONTE DO BRAGUHETTO) - BSB, KM 0, PRÓX. A PONTE DO BRAGUETO, SENT. SOBRADINHO",-15.731502,-47.893888
Riacho Fundo II,"DF 065 - RFII, KM 3,8, ALÇA DE ACESSO À DF 001, SENT. RECANTO DAS EMAS",-15.964688,-48.020879
Taguatinga,"DF 095 (EPCL) - EST, KM 5,5, SENT. TAGUATINGA",-15.787589,-47.988136
Planaltina,"DF 100, KM 16,5, ANTES DO TREVO DO ALEMÃO, SENT. À FORMOSA",-15.718087,-47.390516
Planaltina,"DF 100, KM 16,5, ANTES DO TREVO DO ALEMÃO, SENT. À FORMOSA",-15.718087,-47.390516
São Sebastião,"DF 130 - PAR, KM 34,7, BALÃO DO CAFÉ SEM TROCO",-15.940529,-47.600105
Recanto das Emas,"DF 280 - RE, KM 01, QUEBRA MOLAS, PRÓX. AO ACESSO DO GALPÃO CULTURAL ESPORTIVO, SENT. À BR 060",-15.9425,-48.244
Park Way,"DF 003 (EPIA) - PW, KM 33,1, COLUNA DO VIADUTO, SENT. NÚCLEO BANDEIRANTE",-15.946466,-47.991343
Núcleo Bandeirante,"DF 075 (EPNB) - NB, KM 7.4, SENT. NÚCLEO BANDEIRANTE",-15.876857,-48.023012
Guará,"DF 051, EPIA - CAN, KM 2,1, ALÇA DE ACESSO À DF 047, SENT. AEROPORTO",-15.842242,-47.953869
Planaltina,"DF 130, KM 17,5, SENT. RAJADINHA",-15.792060000000001,-47.641246
Recanto das Emas,"DF 280 - RE, KM 02, PRÓX. SH AGUA QUENTE/COND GUARAPARI, SENT. SANTO ANTÔNIO DO DESCOBERTO",-15.940217,-48.234643
Vicente Pires,"DF 095 (EPLC) - VP, KM 8,5, SENT. PLANO PILOTO",-15.789918,-48.0216
