ra,endereço,lat,lon
São Sebastião,"AV. SÃO SEBASTIÃO, QD 203 CONJ I, PRÓX. À SABORELLA, SÃO SEBASTIÃO",-15.900413,-47.779556
São Sebastião,"AV. BONSUCESSO - PRODF, CJ 10, LT 07, PRÓX. AO LAVA JATO",-15.904724,-47.782395
Taguatinga,"AV. SAMDU SUL, CSD 01, PRÓX. AO CHOP COZINHA BAR, FAIXA.",-15.848526,-48.047927
Plano Piloto,"VIA S2, QD 02, PRÓX. AO ED. OSCAR NIEMEYER",-15.79641,-47.886879
Santa Maria,"VIA INTERNA - SANTA MARIA, CL 307, LT 4, PRÓX. À ASSEMBLÉIA DE DEUS",-16.03037,-48.025498
Ceilândia,"VIA MN1 (AV. HÉLIO PRATES), CNM 01, PRÓX. AO RESTAURANTE COMUNITÁRIO, PARADA ÔNIBUS",-15.816767,-48.103145
Plano Piloto,"W3 SUL, CRS 509, PRÓX. AO IBGE, BRASÍLIA/DF",-15.81406,-47.908403
São Sebastião,"AV. SÃO SEBASTIÃO - BAIRRO RESIDENCIAL OESTE, QD 201/202, AE 02, PARADA DE ÔNIBUS, PRÓX. AO BAT",-15.902676,-47.776671
Recanto das Emas,"AV. VARGEN DA BÊNÇÃO, FAZENDINHA, PRÓX. À CH 13, SENTDO RECANTO DAS EMAS",-15.907054,-48.095724
Cruzeiro,"EPCB (AV. DAS JAQUEIRAS), QRSW 01, SENT. SMU, FAIXA DE PEDESTRE",-15.795684,-47.933377
Águas Claras,"AV. VEREDA DA CRUZ (INTERBAIRROS), CH 486, PRÓX. AO VIVENDAS",-15.851581,-48.029103
Recanto das Emas,"AV. BURITIS, QD 204, CJ 01, SENT N/S, RECANTO DAS EMAS",-15.907094,-48.059476
Samambaia,"VIA INTERNA - SAM. NORTE, QR 202, CONJ. 01/02, CRUZAMENTO",-15.869956,-48.086202
Plano Piloto,"VIA PONTE JK, SCES TRECHO 02, SENT. ASA SUL - PRÓX. AO VIADUTO DE ACESSO A L4, POSTE DE CONCRET",-15.805735,-47.853879
Gama,"AV. CENTRAL LESTE, QD 29, PRÓX. AO SUPERMERCADO COMPER",-16.024837,-48.063692
Ceilândia,"SETOR R, RUA 10, PRÓX. À QNR 3 CJ B",-15.8034,-48.15812
Santa Maria,"AV. SANTA MARIA, CL 317, PRÓX. AO MERCADO CERRAMIX",-16.011325,-47.992123
Ceilândia,"VIA O1, EQNO 02, PRÓX. AO RESTAURANTE JOTAKA",-15.796476,-48.116424
Plano Piloto,"L2 NORTE, CLN 402, PRÓX. À FGV",-15.78101,-47.874089
Gama,"AV. CONTORNO OESTE, QD 30, PRÓX. À PRAÇA CRISTO REDENTOR",-16.014264,-48.082681
Águas Claras,"AV. ÁGUAS CLARAS, QS 06, PRÓX. À ESCOLA TÉCNICA DE BRASÍLIA",-15.861102,-48.026922
Recanto das Emas,"AV. RECANTO DAS EMAS, QD 114, PRÓX. À PARADA DE ONIBUS",-15.921795,-48.103574
